Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2022",Male,Sikkim,Urban,2.9
India,"Financial Year (Apr - Mar), 2022",Total,Sikkim,Urban,3.1
India,"Financial Year (Apr - Mar), 2022",Female,Tripura,Rural,2.5
India,"Financial Year (Apr - Mar), 2022",Male,Tripura,Rural,3.6
India,"Financial Year (Apr - Mar), 2022",Total,Tripura,Rural,3.3
India,"Financial Year (Apr - Mar), 2022",Female,Tripura,Total,3.1
India,"Financial Year (Apr - Mar), 2022",Male,Tripura,Total,3.8
India,"Financial Year (Apr - Mar), 2022",Total,Tripura,Total,3.6
India,"Financial Year (Apr - Mar), 2022",Female,Tripura,Urban,6.0
India,"Financial Year (Apr - Mar), 2022",Male,Tripura,Urban,4.6
India,"Financial Year (Apr - Mar), 2022",Total,Tripura,Urban,5.0
India,"Financial Year (Apr - Mar), 2021",Female,All India,Rural,2.8
India,"Financial Year (Apr - Mar), 2021",Male,All India,Rural,5.0
India,"Financial Year (Apr - Mar), 2021",Total,All India,Rural,4.3
India,"Financial Year (Apr - Mar), 2021",Female,All India,Total,4.5
India,"Financial Year (Apr - Mar), 2021",Male,All India,Total,5.5
India,"Financial Year (Apr - Mar), 2021",Total,All India,Total,5.2
India,"Financial Year (Apr - Mar), 2021",Female,All India,Urban,9.4
India,"Financial Year (Apr - Mar), 2021",Male,All India,Urban,6.8
India,"Financial Year (Apr - Mar), 2021",Total,All India,Urban,7.4
India,"Financial Year (Apr - Mar), 2021",Female,Arunachal  Pradesh,Rural,9.3
India,"Financial Year (Apr - Mar), 2021",Male,Arunachal  Pradesh,Rural,5.8
India,"Financial Year (Apr - Mar), 2021",Total,Arunachal  Pradesh,Rural,6.6
India,"Financial Year (Apr - Mar), 2021",Female,Arunachal  Pradesh,Total,9.6
India,"Financial Year (Apr - Mar), 2021",Male,Arunachal  Pradesh,Total,6.3
India,"Financial Year (Apr - Mar), 2021",Total,Arunachal  Pradesh,Total,7.0
India,"Financial Year (Apr - Mar), 2021",Female,Arunachal  Pradesh,Urban,11.5
India,"Financial Year (Apr - Mar), 2021",Male,Arunachal  Pradesh,Urban,8.5
India,"Financial Year (Apr - Mar), 2021",Total,Arunachal  Pradesh,Urban,9.1
India,"Financial Year (Apr - Mar), 2021",Female,Assam,Rural,13.5
India,"Financial Year (Apr - Mar), 2021",Male,Assam,Rural,7.1
